date,score,level,missing_count,vix,vix_term_structure,vvix,skew,yield_curve_10y2y,yield_curve_10y3m,hy_oas,ig_oas,sofr_iorb,fra_ois,usdjpy,dxy_broad,jp_10y,walcl,on_rrp,tga,china_fx_reserves,usdcny,china_10y,vix_fred,ted_spread
2019-09-01,58.75,YELLOW,8,,,,,0.0,-0.49,,,,-0.17000000000000015,106.3,118.1575,-0.215,3759946.0,12.089,145957.0,3111631.046532363,7.1543,,18.98,0.19
2019-09-02,58.75,YELLOW,8,,,,,0.0,-0.49,,,,-0.17000000000000015,106.3,118.1575,-0.215,3759946.0,12.089,145957.0,3111631.046532363,7.1543,,18.98,0.19
2019-09-03,58.75,YELLOW,8,,,,,0.0,-0.51,,,,-0.18999999999999995,105.88,118.3113,-0.215,3759946.0,1.754,145957.0,3111631.046532363,7.1786,,19.66,0.19
2019-09-04,58.75,YELLOW,8,,,,,0.04,-0.5,,,,-0.24,106.28,117.6729,-0.215,3761508.0,1.425,148740.0,3111631.046532363,7.144,,17.33,0.18
2019-09-05,58.75,YELLOW,8,,,,,0.02,-0.4,,,,-0.24,106.96,117.4776,-0.215,3761508.0,1.075,148740.0,3111631.046532363,7.1468,,16.27,0.17
2019-09-06,58.75,YELLOW,8,,,,,0.02,-0.41,,,,-0.18999999999999995,106.8,117.1292,-0.215,3761508.0,0.88,148740.0,3111631.046532363,7.1131,,15.0,0.21
2019-09-07,58.75,YELLOW,8,,,,,0.02,-0.41,,,,-0.18999999999999995,106.8,117.1292,-0.215,3761508.0,0.88,148740.0,3111631.046532363,7.1131,,15.0,0.21
2019-09-08,58.75,YELLOW,8,,,,,0.02,-0.41,,,,-0.18999999999999995,106.8,117.1292,-0.215,3761508.0,0.88,148740.0,3111631.046532363,7.1131,,15.0,0.21
2019-09-09,58.75,YELLOW,8,,,,,0.05,-0.33,,,,-0.16000000000000014,107.14,117.0601,-0.215,3761508.0,2.787,148740.0,3111631.046532363,7.121,,15.27,0.22
2019-09-10,58.75,YELLOW,8,,,,,0.05,-0.23,,,,-0.19000000000000017,107.34,117.0887,-0.215,3761508.0,3.608,148740.0,3111631.046532363,7.1121,,15.2,0.22
