date,score,level,missing_count,vix,vix_term_structure,vvix,skew,yield_curve_10y2y,yield_curve_10y3m,hy_oas,ig_oas,sofr_iorb,fra_ois,usdjpy,dxy_broad,jp_10y,walcl,on_rrp,tga,china_fx_reserves,usdcny,china_10y,vix_fred,ted_spread
2008-01-01,46.25,YELLOW,10,,,,,0.99,0.68,,,,,111.71,89.6297,1.429,890662.0,,4910.0,1591861.828004882,7.2946,,22.5,1.41
2008-01-02,46.25,YELLOW,10,,,,,1.03,0.65,,,,,109.7,89.3514,1.429,922187.0,,8693.0,1591861.828004882,7.2946,,23.17,1.5
2008-01-03,46.25,YELLOW,10,,,,,1.08,0.67,,,,,109.58,89.231,1.429,922187.0,,8693.0,1591861.828004882,7.2755,,22.49,1.49
2008-01-04,46.25,YELLOW,10,,,,,1.14,0.68,,,,,108.38,89.2467,1.429,922187.0,,8693.0,1591861.828004882,7.2695,,23.94,1.5
2008-01-05,46.25,YELLOW,10,,,,,1.14,0.68,,,,,108.38,89.2467,1.429,922187.0,,8693.0,1591861.828004882,7.2695,,23.94,1.5
2008-01-06,46.25,YELLOW,10,,,,,1.14,0.68,,,,,108.38,89.2467,1.429,922187.0,,8693.0,1591861.828004882,7.2695,,23.94,1.5
2008-01-07,46.25,YELLOW,10,,,,,1.1,0.59,,,,,109.1,89.5718,1.429,922187.0,,8693.0,1591861.828004882,7.2705,,23.79,1.35
2008-01-08,46.25,YELLOW,10,,,,,1.1,0.61,,,,,109.29,89.3398,1.429,922187.0,,8693.0,1591861.828004882,7.267,,25.43,1.34
2008-01-09,46.25,YELLOW,10,,,,,1.13,0.6,,,,,109.4,89.6807,1.429,880754.0,,5146.0,1591861.828004882,7.2625,,24.12,1.3
2008-01-10,46.25,YELLOW,10,,,,,1.2,0.67,,,,,109.38,89.6226,1.429,880754.0,,5146.0,1591861.828004882,7.27,,23.45,1.22
2008-01-11,46.25,YELLOW,10,,,,,1.23,0.73,,,,,109.11,89.5215,1.429,880754.0,,5146.0,1591861.828004882,7.2615,,23.68,1.24
2008-01-12,31.25,YELLOW,12,,,,,1.23,0.73,,,,,109.11,89.5215,,880754.0,,5146.0,,7.2615,,23.68,1.24
2008-01-13,31.25,YELLOW,12,,,,,1.23,0.73,,,,,109.11,89.5215,,880754.0,,5146.0,,7.2615,,23.68,1.24
2008-01-14,22.5,GREEN,12,,,,,1.23,0.62,,,,,108.18,89.2749,,880754.0,,5146.0,,7.2526,,22.9,0.94
2008-01-15,22.5,GREEN,12,,,,,1.19,0.55,,,,,107.07,89.1555,,880754.0,,5146.0,,7.2345,,23.34,0.91
2008-01-16,22.5,GREEN,12,,,,,1.23,0.6,,,,,107.27,89.6701,,893581.0,,5171.0,,7.24,,24.38,0.89
2008-01-17,22.5,GREEN,12,,,,,1.22,0.59,,,,,107.01,89.6484,,893581.0,,5171.0,,7.2245,,28.46,0.93
2008-01-18,31.25,YELLOW,12,,,,,1.3,0.8,,,,,106.82,89.8993,,893581.0,,5171.0,,7.2424,,27.18,1.1
2008-01-19,31.25,YELLOW,12,,,,,1.3,0.8,,,,,106.82,89.8993,,893581.0,,5171.0,,7.2424,,27.18,1.1
