date,score,level,missing_count,vix,vix_term_structure,vvix,skew,yield_curve_10y2y,yield_curve_10y3m,hy_oas,ig_oas,sofr_iorb,fra_ois,usdjpy,dxy_broad,jp_10y,walcl,on_rrp,tga,china_fx_reserves,usdcny,china_10y,vix_fred,ted_spread
2022-01-01,42.5,YELLOW,7,,,,,0.79,1.46,,,10.0,0.009999999999999995,115.17,115.283,0.17,8757460.0,1904.582,211849.0,3285770.436657885,6.3726,,17.22,0.15
2022-01-02,42.5,YELLOW,7,,,,,0.79,1.46,,,10.0,0.009999999999999995,115.17,115.283,0.17,8757460.0,1904.582,211849.0,3285770.436657885,6.3726,,17.22,0.15
2022-01-03,42.5,YELLOW,7,,,,,0.85,1.55,,,10.0,0.03,115.27,115.4101,0.17,8757460.0,1579.526,211849.0,3285770.436657885,6.355,,16.6,0.15
2022-01-04,42.5,YELLOW,7,,,,,0.89,1.58,,,10.0,0.03,116.12,115.3103,0.17,8757460.0,1495.692,211849.0,3285770.436657885,6.3721,,16.91,0.14
2022-01-05,42.5,YELLOW,7,,,,,0.88,1.62,,,10.0,0.039999999999999994,115.91,115.137,0.17,8765721.0,1492.787,389751.0,3285770.436657885,6.364,,19.73,0.14
2022-01-06,42.5,YELLOW,7,,,,,0.85,1.63,,,10.0,0.05,115.78,115.4046,0.17,8765721.0,1510.553,389751.0,3285770.436657885,6.3822,,19.61,0.13
2022-01-07,42.5,YELLOW,7,,,,,0.89,1.66,,,10.0,0.05,115.61,115.0451,0.17,8765721.0,1530.096,389751.0,3285770.436657885,6.3769,,18.76,0.14
2022-01-08,42.5,YELLOW,7,,,,,0.89,1.66,,,10.0,0.05,115.61,115.0451,0.17,8765721.0,1530.096,389751.0,3285770.436657885,6.3769,,18.76,0.14
2022-01-09,42.5,YELLOW,7,,,,,0.89,1.66,,,10.0,0.05,115.61,115.0451,0.17,8765721.0,1530.096,389751.0,3285770.436657885,6.3769,,18.76,0.14
2022-01-10,42.5,YELLOW,7,,,,,0.86,1.65,,,10.0,0.08,115.14,115.2216,0.17,8765721.0,1560.421,389751.0,3285770.436657885,6.3756,,19.4,0.11
2022-01-11,42.5,YELLOW,7,,,,,0.85,1.64,,,10.0,0.06,115.38,114.8332,0.17,8765721.0,1527.02,389751.0,3285770.436657885,6.3735,,18.41,0.12
2022-01-12,30.0,YELLOW,9,,,,,0.82,1.62,,,10.0,0.06999999999999999,114.74,114.355,,8788278.0,1536.981,456401.0,,6.358,,17.62,0.12
2022-01-13,37.5,YELLOW,9,,,,,0.79,1.58,,,10.0,0.06999999999999999,114.06,114.177,,8788278.0,1636.742,456401.0,,6.3595,,20.31,0.12
2022-01-14,30.0,YELLOW,9,,,,,0.79,1.65,,,10.0,0.08,113.89,114.3825,,8788278.0,1598.887,456401.0,,6.3524,,19.19,0.11
2022-01-15,30.0,YELLOW,9,,,,,0.79,1.65,,,10.0,0.08,113.89,114.3825,,8788278.0,1598.887,456401.0,,6.3524,,19.19,0.11
2022-01-16,30.0,YELLOW,9,,,,,0.79,1.65,,,10.0,0.08,113.89,114.3825,,8788278.0,1598.887,456401.0,,6.3524,,19.19,0.11
2022-01-17,30.0,YELLOW,9,,,,,0.79,1.65,,,10.0,0.08,113.89,114.3825,,8788278.0,1598.887,456401.0,,6.3524,,19.19,0.11
2022-01-18,37.5,YELLOW,9,,,,,0.81,1.71,,,10.0,0.11,114.6,114.7373,,8788278.0,1597.137,456401.0,,6.3525,,22.79,0.08
2022-01-19,37.5,YELLOW,9,,,,,0.79,1.66,,,10.0,0.12000000000000001,114.28,114.6109,,8867834.0,1656.576,488697.0,,6.3447,,23.85,0.09
2022-01-20,37.5,YELLOW,9,,,,,0.75,1.66,,,10.999999999999998,0.13,114.08,114.4642,,8867834.0,1678.931,488697.0,,6.3406,,25.59,0.08
2022-01-21,37.5,YELLOW,9,,,,,0.74,1.58,,,10.0,0.12000000000000001,113.72,114.6125,,8867834.0,1706.127,488697.0,,6.3385,,28.85,0.09
2022-01-22,37.5,YELLOW,9,,,,,0.74,1.58,,,10.0,0.12000000000000001,113.72,114.6125,,8867834.0,1706.127,488697.0,,6.3385,,28.85,0.09
